Job_ID,Titre,Societe,Description,Categories,Annees_Experience,Niveau_Experience,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
131205,Electricité du Lac recrute Ingénieur Bureau d’Études Senior Télétravail,Electricité du Lac,"Electricité du Lac recrute Ingénieur Bureau d’Études Senior Télétravail – Tunisie Missions principales Réaliser le chiffrage complet des projets électriques selon les normes françaises Préparer et gérer des dossiers complets d’appels d’offres,… ...",IT / Informatique,,Senior,,Lac,Télétravail,Teletravail,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/electricite-du-lac-recrute-ingenieur-bureau-d-etudes-senior-teletravail-tunisie-131205/
131133,Siyadah Ai recrute Développeur IA Senior Python,Siyadah Ai,Siyadah Ai recrute Développeur IA Senior Python Description du poste Nous recherchons un Développeur IA Senior spécialisé en Python avec au moins 5 ans d’expérience en intelligence artificielle et machine learning pour… ...,IT / Informatique,5 ans d’exp,Senior,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/siyadah-ai-recrute-developpeur-ia-senior-python-131133/
130280,Chick’n Chips recrute des Cuisiniers / des Cuisinières,Chick’n Chips,Chick’n Chips recrute Des Cuisiniers / Des Cuisinières Profil – Vous êtes titulaire d’un diplôme en cuisine – Age entre 20 et 30 ans – Vous possédez une expérience significative sur un… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/chickn-chips-recrute-des-cuisiniers-des-cuisinieres-130280/
121972,Domi Affaire Offre Stage Marketing Digital et Communication,,Domi Affaire Offre Stage Marketing Digital et Communication Missions Intégrer et actualiser le contenu sur notre site web via WordPress. Participer à l’analyse et à l’amélioration du référencement du site web. Créer… ...,IT / Informatique,,Stage,,,Stage,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/domi-affaire-offre-stagiaire-marketing-digital-et-communication-121972/
120268,Moser Cabel System recrute Ingénieur Développement et Construction,Moser Cabel System,Moser Cabel System recrute Ingénieur Développement et Construction des Systèmes Electriques et Embarqués Description de l’emploi Concevoir et développer des réseaux de câblage et des armoires électriques en utilisant le logiciel Eplan… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/moser-cabel-system-recrute-ingenieur-developpement-et-construction-120268/
123819,Eclair recrute Technico Commercial en Electricité Industriel,Eclair,Eclair recrute Technico Commercial en Electricité Industriel Profil Technico-commercial en électricité industriel Expérience : 0 à 1ans Marketing numérique Chiffrage A.O Contrat CIVP Comment postuler Merci d’envoyer votre CV par mail Ville… ...,IT / Informatique,0 à 1ans,,,,CIVP,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/eclair-recrute-technico-commercial-en-electricite-industriel-123819/
131071,Mazzaro Milano recrute des Conseillers de Vente Sfax,Mazzaro Milano,Mazzaro Milano recrute Des Conseillers de Vente Sfax Responsabilités principales – Accueillir les clients et les assister dans la recherche et le choix des produits. – Fournir des informations détaillées sur les… ...,IT / Informatique,,,,Sfax,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/mazzaro-milano-recrute-des-conseillers-de-vente-sfax-131071/
131165,Call In Call Out recrute Comptable-Junior Mi-Temps,Call In Call Out,"Staffinity SARL est spécialisée dans la gestion des appels entrants et sortants, l’assistance administrative, le support comptable et le marketing digital. Call In Call Out recrute Comptable-Junior Mi-Temps Qui travaillera dans notre… ...",IT / Informatique,,Junior,,,Temps partiel / Mi-temps,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/call-in-call-out-recrute-comptable-junior-mi-temps-131165/
131179,Royal Tulip Korbous Bay recrute Gouvernante Générale,Royal Tulip Korbous Bay,Royal Tulip Korbous Bay recrute Gouvernante Générale Profil * Formation Académique : École hôtelière * Langue : Connaissance en Français et Anglais * Expérience Professionnelle : 5 ans dans un poste similaire.… ...,Hôtellerie / Restauration,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/royal-tulip-korbous-bay-recrute-gouvernante-generale-131179/
131138,Clinique la Rose recrute Instrumentistes Bloc Opératoire,Clinique la Rose,Clinique la Rose recrute Instrumentistes Bloc Opératoire Profil recherché : Diplôme en instrumentation Expérience au bloc opératoire souhaitée Sens de l’organisation et esprit d’équipe. Type de contrat : CDI ou CIVP Comment… ...,IT / Informatique,,,,,CDI,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/clinique-la-rose-recrute-instrumentistes-bloc-operatoire-131138/
131198,All For Pets recrute des Vendeurs Soukra,All For Pets,All For Pets recrute Des Vendeurs Soukra Profil Vous êtes passionné(e) du monde des animaux de compagnie. Votre sens du service et votre esprit d’équipe sont des points forts. Vous avez un… ...,IT / Informatique,,,,Soukra,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/all-for-pets-recrute-des-vendeurs-soukra-131198/
131188,Clinique le Bardo recrute Technicien en Réanimation,Clinique le Bardo,Clinique le Bardo recrute Technicien en Réanimation Polyvalente pour renforcer son équipe de soins. › Missions principales : Assurer la surveillance continue des patients en réanimation. Contrôler et préparer les équipements de… ...,Médical / Paramédical,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/clinique-le-bardo-recrute-technicien-en-reanimation-131188/
131088,Hôtel Palais Royal recrute Plombier / Électricien,Hôtel Palais Royal,Hôtel Palais Royal recrute Plombier / Électricien Profil Diplôme en BTP souhaitable Expérience minimum 2 ans dans un hôtel Dynamique et rigoureux Exécuter les maintenances Comment postuler : Cette opportunité vous intéresse… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/hotel-palais-royal-recrute-plombier-electricien-131088/
131161,Bemepro recrute Thermiciens en Énergie,Bemepro,"Bemepro recrute Thermiciens en Énergie Directement rattaché(e) à l’équipe technique, vous serez le garant de la précision de nos analyses énergétiques. Vos missions principales incluent : • Ingénierie de diagnostic : Réaliser… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/bemepro-recrute-thermiciens-en-energie-131161/
131168,Advancia SPG Group recrute Ingénieur Senior en Cybersecurite,Advancia SPG Group,Advancia SPG Group recrute Ingenieur Senior en Cybersecurite Mission Consistera principalement à être le référant technique auprès de nos partenaires ’ revendeurs informatiques ’ et de leurs clients finaux sur des missions… ...,IT / Informatique,,Senior,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/advancia-spg-group-recrute-ingenieur-senior-en-cybersecurite-131168/
131153,MHS Eden Yasmine Resort et Spa recrute Comptable Fournisseur Hôtel,MHS Eden Yasmine Resort et Spa,"منتزه الحمامات الجنوبيّة MHS Eden Yasmine Resort et Spa recrute Comptable Fournisseur d’un Hôtel Dynamique et motivé(e), résidant(e) à Hammamet ou Nabeul, pour rejoindre l’équipe de notre hôtel 4› situé à la… ...",IT / Informatique,,,,Nabeul,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/mhs-eden-yasmine-resort-et-spa-recrute-comptable-fournisseur-hotel-131153/
131147,Atba3Li recrute Livreur à Moto,Atba3Li,Atba3Li recrute Livreur À Moto Mission principale : Le livreur à moto est chargé de livrer des commandes aux clients rapidement et en toute sécurité en utilisant une moto. Tâches principales :… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/atba3li-recrute-livreur-a-moto-131147/
131180,Royal Tulip Korbous Bay recrute des Chefs de Rang / des Commis de Rang,Royal Tulip Korbous Bay,Royal Tulip Korbous Bay recrute Des Chefs de Rang / Des Commis de Rang Mission * Gérer votre rang et assurer un service de qualité Conseiller les clients sur les plats et… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/royal-tulip-korbous-bay-recrute-des-chefs-de-rang-des-commis-de-rang-131180/
131148,Stivel recrute Retail Manager / Réseau Ameublement et Textile,Stivel,"Stivel recrute Retail Manager / Réseau Ameublement et Textile Votre Mission : Directement rattaché(e) à la Direction Générale, vous animez et coordonnez l’activité de vos 6 magasins pour garantir une expérience client… ...",IT / Informatique,,Manager,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/stivel-recrute-retail-manager-reseau-ameublement-et-textile-131148/
131097,FD Ingénierie et Conseils recrute Projeteur / Dessinateur en Génie Civil,FD Ingénierie et Conseils,FD Ingénierie & Conseils recrute Projeteur / Dessinateur en Génie Civil Débutant – Eligible SIVP Missions principales : * Réaliser les plans de coffrage * Établir les plans de ferraillage * Mettre… ...,Ingénierie,,Débutant,,,SIVP,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/fd-ingenierie-et-conseils-recrute-projeteur-dessinateur-en-genie-civil-131097/
131163,Africhrome recrute Menuisier,Africhrome,"Africhrome recrute Menuisier Mission Assurer l’assemblage de meubles, effectuer les ajustements nécessaires Maitriser de l’outillage ( visseuse, perceuse ) Comment postuler : Cette opportunité vous intéresse et votre profil correspond ? Envoyez-nous… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/africhrome-recrute-menuisier-131163/
131183,Carthage Industries recrute Ingénieur Géni Civil,Carthage Industries,"Carthage Industries recrute Ingénieur Géni Civil (Sfax) › Missions Étudier et concevoir les projets de construction. Superviser et suivre les chantiers (qualité, délais, coûts). Coordonner avec les architectes, techniciens et entreprises. Préparer… ...",IT / Informatique,,,,Sfax,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/carthage-industries-recrute-ingenieur-geni-civil-131183/
131135,Hôtel Novotel Med V recrute Croissantier,Hôtel Novotel Med V,"Hôtel Novotel Med V recrute Croissantier / Pâtissier Profil – 1 an d’expérience dans le domaine de la pâtisserie – Un diplôme ou un certificat en pâtisserie – Être responsable, autonome et… ...",Hôtellerie / Restauration,1 an d’exp,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/hotel-novotel-med-v-recrute-croissantier-131135/
131141,Academy For Higher Training recrute Formatrice en Anglais,Academy For Higher Training,"Academy For Higher Training recrute Formatrice en Anglais Profil Maîtrise parfaite de l’anglais Diplôme en langue anglaise Sérieuse, motivée et dynamique Comment postuler : Cette opportunité vous intéresse et votre profil correspond… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/academy-for-higher-training-recrute-formatrice-en-anglais-131141/
131101,Ms Meuble recrute Conseiller.ère Commercial.e Showroom Meubles – Bizerte,Ms Meuble,Ms Meuble recrute Conseiller.ère Commercial.e Showroom Meubles - Bizerte Dynamique et motivé(e). Missions : Accueillir et conseiller les clients en showroom Identifier les besoins et proposer les produits adaptés Conclure les ventes… ...,IT / Informatique,,,,Bizerte,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/ms-meuble-recrute-conseiller-ere-commercial-e-showroom-meubles-bizerte-131101/
131127,Portaops recrute Ingénieur d’Affaires IT – ESN,Portaops,"Portaops recrute Ingénieur d’Affaires IT - ESN - Profil Commercial Uniquement Poste 100% commercial dans une ESN (prospection, développement de portefeuille, vente de prestations IT). Ce poste ne concerne pas les profils… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/portaops-recrute-ingenieur-daffaires-it-esn-131127/
131189,ASH Consulting recrute Coordinatrice Commercial,ASH Consulting,"ASH Consulting recrute Coordinatrice Commercial Vous avez une expérience en coordination des ventes et vous aimez les postes où organisation, suivi des opérations et relation client sont essentiels ? › Cette opportunité… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/ash-consulting-recrute-coordinatrice-commercial-131189/
131209,Coffee Shop recrute Barista,Coffee Shop,"Selim Jlassi recrute Barista Expérimenté Profil Expérimenté pour un coffee shop situé à la Soukra Jeune, Dynamique et sérieux Comment postuler : Cette opportunité vous intéresse et votre profil correspond ? Envoyez-nous… ...",IT / Informatique,,,,La Soukra,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/coffee-shop-recrute-barista-131209/
128194,Excellence Training Center recrute Formatrice en Langue Italienne,Excellence Training Center,Excellence Training Center recrute Formatrice en Langue Italienne Profil Maitrise la langue italienne Niveau universitaire Disponible respectueux et surtout ponctuel Comment postuler : Merci d’envoyer vos CV à via le formulaire Pays… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/excellence-training-center-recrute-formatrice-en-langue-italienne-128194/
131195,Cascade recrute des Professeurs,Cascade,"Cascade recrute Des Professeurs - Chimie et Mathématiques en Télétravail, Postes Pour Etudiants et Jeunes Diplômés Pour donner des cours de Physique chimie et Mathématiques en Télétravail en langue française à des… ...",IT / Informatique,,,,,Télétravail,Teletravail,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/cascade-recrute-des-professeurs-131195/
131156,Carthage Industries recrute des Chauffeurs / Conducteurs d’Engins,Carthage Industries,Carthage Industries recrute Des Chauffeurs / Conducteur d’Engins › Grutier – Expérience minimum 10 ans › Chauffeur Semi-Remorque – Expérience minimum 5 ans › Conducteur d’Engins de Chantier – Expérience minimum 5… ...,BTP / Génie Civil,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/carthage-industries-recrute-chauffeur-conducteur-dengins-131156/
131159,Ecole Privée Khaznadar recrute des Enseignants d’Arabe,Ecole Privée Khaznadar,Ecole Privée Khaznadar recrute Des Enseignants d’Arabe Profil Expérimenté (e) polyvalent (e) matière scientifique et littéraire ainsi que un (e) enseignant (e) de français expérimenté ( e) maitrisant le programme de l’étatique… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/ecole-privee-khaznadar-recrute-des-enseignants-darabe-131159/
131203,Pavarotti Berge du Lac recrute Commis de Salle,Pavarotti Berge du Lac,Restaurant Lac recrute Des Commis de Salle Qualités principales : - Motivé - Discipline et écoute - Rapidité et efficacité - Excellente présentation et sens du service client. - Capacité à travailler… ...,IT / Informatique,,,,Lac,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/pavarotti-berge-du-lac-recrute-commis-de-salle-131203/
131100,Aerotech recrute Chargée des Analyses Chimiques,Aerotech,"Aerotech, dans le cadre du renforcement de notre équipe, Aérotech, entreprise spécialisée dans le traitement de surface pour le secteur aéronautique, recrute Chargée des Analyses Chimiques – Analyses des Bains (Traitement de… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/aerotech-recrute-chargee-des-analyses-chimiques-131100/
131192,CMCA Concessionnaire Automobile recrute Vendeur Piece de Rechange,CMCA Concessionnaire Automobile,Cmca recrute Vendeur Piece de Rechange Profil Vendeur pièce de rechange automobile avec expérience dans le secteur automobile Comment postuler : Cette opportunité vous intéresse et votre profil correspond ? Envoyez-nous votre… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/cmca-concessionnaire-automobile-recrute-vendeur-piece-de-rechange-131192/
116193,Pesco recrute Technicien Supérieur en Electricité,Pesco,"Pesco recrute Technicien Supérieur en Electricité Exigences - Niveau (Bac+3) en génie électrique, électronique, énergétique ou équivalent. - Expérience (0-1 ans) - Capacité à travailler en équipe et de manière autonome. -… ...",IT / Informatique,0-1 ans,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/pesco-recrute-technicien-superieur-en-electricite-116193/
131197,Done Delivery recrute Assistante Opérationnelle,Done Delivery,Done Delivery recrute Assistante Opérationnelle Missions principales L’Assistante Opérationnelle joue un rôle clé dans la coordination des opérations logistiques et le support client. Ses responsabilités incluent : • Planification et suivi des… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/done-delivery-recrute-assistante-operationnelle-131197/
131200,Transglory recrute des Agents de Back Office Langue Espagnol,Transglory,"Transglory recrute Des Agents de Back Office Langue Espagnol Profil – Entre 25-35 ans – Langues : Espagnol haut Niveau. – Etudes : minimum BAC – Bonnes connaissances de bureautique : Word,… ...",Toutes offres Tunisie,25-35 ans,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/transglory-recrute-des-agents-de-back-office-langue-espagnol-131200/
131049,Sun Contact recrute des Téléconseiller.es en Allemand,Sun Contact,"Sun Contact recrute Des Téléconseiller.es en Allemand Germanophone dynamique, motivé(e) et doté(e) d’un excellent sens de la communication. › Profil recherché : Excellente maîtrise du français et de l’allemand (oral et écrit)… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/sun-contact-recrute-des-teleconseiller-es-en-allemand-131049/
131126,Pharmahealth recrute Pharmacien.ne Responsable Contrôle Qualité,Pharmahealth,"Pharmahealth recrute Pharmacien.ne Responsable Contrôle Qualité Localisation : Béja, Tunisie Vos principales missions : Garantir la qualité et la conformité des analyses des matières premières, produits en cours et produits finis, conformément… ...",IT / Informatique,,,,Béja,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/pharmahealth-recrute-pharmacien-ne-responsable-controle-qualite-131126/
131069,The Residence recrute Animatrice Kids Club,The Residence,"The Residence recrute Animatrice Kids Club Profil recherché Expérience : Vous avez une expérience significative dans l’animation ou la gestion de clubs pour enfants, avec une maîtrise des enjeux de sécurité et… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/the-residence-recrute-animatrice-kids-club-131069/
131084,Bo Digital Offre Stage en Marketing Digital,,"Bo Digital offre Stage en Marketing Digital Lieu : Nabeul ou à distance Niveau : Master (Marketing, Communication, Digital ou équivalent) Durée : 3 à 6 mois Disponibilité : dès que possible… ...",IT / Informatique,,Stage,,Nabeul,Stage,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/bo-digital-offre-stage-en-marketing-digital-131084/
131125,Omos International is looking for Topographic Surveyor / Civil Technician,,"Omos International is looking for Topographic Surveyor / Civil Technician Experienced professionals to join our team for the construction of drilling platforms, access road opening, and infrastructure maintenance in remote desert environments.… ...",IT / Informatique,,,,,Télétravail,Teletravail,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/omos-international-is-looking-for-topographic-surveyor-civil-technician-131125/
131105,Cale Chaussures recrute des Ouvriers / des Ouvrières de Production,Cale Chaussures,Cale Chaussures recrute Des Ouvriers / Des Ouvrières de Production – Fabrication de Chaussures (Avec Ou Sans Expérience) Postes disponibles : Différents postes dans la chaîne de fabrication Expérience requise : Avec… ...,Toutes offres Tunisie,,Sans expérience,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/cale-chaussures-recrute-des-ouvriers-des-ouvrieres-de-production-131105/
131124,Omos International is looking for QA/QC Supervisor / Civil Engineer,,"Omos International is looking for QA/QC Supervisor / Civil Engineer Experienced professionals to join our team for the construction of drilling platforms, access road opening, and infrastructure maintenance in remote desert environments.… ...",Toutes offres Tunisie,,,,,Télétravail,Teletravail,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/omos-international-is-looking-for-qa-qc-supervisor-civil-engineer-131124/
131083,Omos International is looking for HSSE Supervisors,,"Omos International is looking for HSSE Supervisors Experienced professionals to join our team for the construction of drilling platforms, access road opening, and infrastructure maintenance in remote desert environments. • Role: Enforce… ...",Toutes offres Tunisie,,,,,Télétravail,Teletravail,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/omos-international-is-looking-for-hsse-supervisors-131083/
131114,Polysieges recrute Technicien Bureau d’Études,Polysieges,"Polysieges recrute Technicien Bureau d’Études Agencement & Fabrication (H/F) Pour accompagner notre développement et moderniser nos processus de production. Vos missions : Directement rattaché(e) à la direction, vous êtes le pivot entre… ...",Toutes offres Tunisie,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/polysieges-recrute-technicien-bureau-detudes-131114/
131091,Société Malibu Food recrute Responsable Cuisine Centrale,Société Malibu Food,"Société Malibu Food recrute Responsable Cuisine Centrale (Laboratoire, Traiteur) Pour superviser la production au sein de notre laboratoire et activité traiteur. › Missions principales : Organiser et superviser la production de la… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/societe-malibu-food-recrute-responsable-cuisine-centrale-131091/
131040,K line Confection recrute Responsable de Production Textile,K line Confection,"K line Confection recrute Responsable de Production Textile Expérimenté , polyvalent avec un salaire motivant. Responsabilités : Pilotage de la production : il est chargé de la planification , de l’affectation et… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/k-line-confection-recrute-responsable-de-production-textile-131040/
131145,Arobat recrute Chef Chantier,Arobat,La société Arobat de bâtiment et travaux spécialisé dans le domaine de construction recrute Chef Chantier Spécialisé en bâtiment lieux de travail tous le territoire Tunisien. Exigences : - Avoir l’esprit d’équipe… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/arobat-recrute-chef-chantier-131145/
131142,Société Général des Traveaux et de Fluide recrute Ingénieur Energétique,Société Général des Traveaux et de Fluide,"Société Général des Traveaux et de Fluide recrute Ingénieur Energétique Le candidat retenu sera chargé de : Étudier, concevoir et dimensionner les installations de génie des fluides (CVC, plomberie, réseaux hydrauliques, etc.) Réaliser… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/societe-general-des-traveaux-et-de-fluide-recrute-ingenieur-energetique-131142/
131164,Africhrome recrute Chimiste,Africhrome,"Africhrome recrute Chimiste Mission Analyse, Production et Procédés , Documentation et Reporting Comment postuler : Cette opportunité vous intéresse et votre profil correspond ? Envoyez-nous votre CV via le formulaire Pays /… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/africhrome-recrute-chimiste-131164/
130609,Advisus By Ndc recrute Inspecteur Technique,Advisus By Ndc,"Dans le cadre du renforcement de son équipe, Advisus By Ndc bureau de contrôle technique basé à Tunis recrute Inspecteur Technique – Sécurité des Installations et Équipements Industriels (Tunis) A ce titre… ...",IT / Informatique,,,,Tunis,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/advisus-by-ndc-recrute-inspecteur-technique-130609/
131061,Tricom recrute des Télévendeurs,Tricom,"Tricom recrute Des Télévendeurs Des talents commerciaux capables de relever le défi. Si vous aimez convaincre, créer du lien et conclure des deals, ce poste est fait pour vous. Votre mission En… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/tricom-recrute-des-televendeurs-131061/
130435,Kyriad Prestige City Center Tunis recrute Chef Pâtissier,Kyriad Prestige City Center Tunis,"Kyriad Prestige City Center Tunis recrute Chef Pâtissier Profil recherché Formation professionnelle en pâtisserie Expérience confirmée en hôtellerie, restaurant ou établissement similaire Passion pour la pâtisserie, sens du détail et esprit d’équipe… ...",IT / Informatique,,Confirmé,,Tunis,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/kyriad-prestige-city-center-tunis-recrute-chef-patissier-130435/
130855,Clinique la Rose recrute des Sages Femme – Maternité,Clinique la Rose,"Clinique la Rose recrute Des Sages Femme - Maternité Profil Vous êtes sage-femme diplômée et passionnée par la prise en charge des femmes et des nouveau-nés ? Rejoignez une clinique privée dynamique,… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/clinique-la-rose-recrute-sage-femme-maternite-130855/
130865,Evo Control recrute Ingénieur en Génie Civil,Evo Control,Evo Control recrute Ingénieur en Génie Civil Missions principales : Examen des dossiers Suivi et contrôle des travaux Analyse technique et rédaction de rapports Coordination avec les différents intervenants Veille au respect… ...,Ingénierie,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/evo-control-recrute-ingenieur-en-genie-civil-130865/
131020,Ecostrafi Conseil Offre Stage Pfe en Finance et Management,,Ecostrafi Conseil Offre Stage Pfe en Finance et Management Missions: Participer au développement et à l’optimisation des stratégies commerciales Contribuer aux études de marché et aux analyses concurrentielles Aider à la mise… ...,IT / Informatique,,Stage,,,Stage,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/ecostrafi-conseil-recrute-stage-pfe-en-finance-et-management-131020/
130977,Engineering and General Services EGS recrute Ingénieur Hydraulique Confirmé,Engineering and General Services EGS,"Engineering and General Services EGS est une société d’études pluridisciplinaires créée en 1989, implantée en Tunisie, exerce ses métiers en Tunisie et à l’International en développant ses activités et sa représentation au… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/engineering-and-general-services-egs-recrute-ingenieur-hydraulique-confirme-130977/
100632,Ideal Chaud Froid recrute des Techniciens,Ideal Chaud Froid,"Ideal Chaud Froid recrute Des Techniciens Profil Techniciens qualifies en plomberie, chauffage central et climatisation avec expérience. Comment postuler Veuillez nous envoyer votre CV par mail Ville › Ariana Tel / Fax… ...",IT / Informatique,,,,Ariana,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/ideal-chaud-froid-recrute-des-techniciens-100632/
130992,Pharma Clean recrute Technicien Mécanique,Pharma Clean,Pharma Clean recrute Technicien Mécanique Lire et interpréter des plans techniques Monter et démonter des équipements mécaniques Diagnostiquer des pannes Effectuer la maintenance préventive et corrective Contrôler la conformité des pièces Rédiger… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/pharma-clean-recrute-technicien-mecanique-130992/
130965,Newrest Tunisie recrute des Cuisinier.es,Newrest Tunisie,Newrest Tunisie recrute Des Cuisinier.es ›‍› Relevez un défi de taille : Devenez Cuisinier au cœur de notre expansion ! Vous avez la passion du produit et le goût de la performance… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/newrest-tunisie-recrute-des-cuisinier-es-130965/
130891,Cabinet Saidi recrute Assistante de Direction Polyvalente,Cabinet Saidi,Cabinet Saidi recrute Assistante de Direction Polyvalente Destiné à assurer un soutien administratif et organisationnel auprès de la direction ainsi qu’un appui dans la gestion des activités du département d’expertise comptable. Attributions… ...,IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/cabinet-saidi-recrute-assistante-de-direction-polyvalente-130891/
130944,Develop Mark recrute Motion Designer,Develop Mark,"Develop Mark recrute Motion Designer Missions : - Création d’animations motion design (réseaux sociaux, publicités, vidéos corporate, etc.) - Réalisation de shootings photo et vidéo pour les clients - Montage vidéo et… ...",IT / Informatique,,,,,,,2026-03-01,"Mar, 2026",Non,TunisieTravail,https://www.tunisietravail.net/develop-mark-recrute-motion-designer-130944/
